INFO:root:start with arguments Namespace(batch_size=128, benchmark=0, brightness=0, contrast=0, data_nthreads=4, data_train='data/cifar10_train.rec', data_train_idx='', data_val='data/cifar10_val.rec', data_val_idx='', disp_batches=1, dtype='float32', fill_value=127, gc_threshold=0.5, gc_type='none', gpus='0', image_shape='3,28,28', initializer='default', kv_store='device', load_epoch=None, loss='ce', lr=0.05, lr_factor=0.1, lr_step_epochs='200,250', macrobatch_size=0, max_crop_size=-1, max_random_area=1, max_random_aspect_ratio=0, max_random_h=0, max_random_l=0, max_random_rotate_angle=0, max_random_s=0, max_random_scale=1, max_random_shear_ratio=0, min_crop_size=-1, min_random_area=1, min_random_aspect_ratio=None, min_random_scale=1, model_prefix=None, mom=0.9, monitor=0, network='resnet', num_classes=10, num_epochs=300, num_examples=50000, num_layers=110, optimizer='sgd', pad_size=4, pca_noise=0, profile_server_suffix='', profile_worker_suffix='', random_crop=0, random_mirror=0, random_resized_crop=0, rgb_mean='123.68,116.779,103.939', rgb_std='1,1,1', saturation=0, save_period=1, test_io=0, top_k=0, use_imagenet_data_augmentation=0, warmup_epochs=5, warmup_strategy='linear', wd=0.0001)
INFO:root:Epoch[0] Batch [53-54]	Speed: 1162.49 samples/sec	accuracy=0.289062	cross-entropy=1.910025
INFO:root:Epoch[0] Batch [54-55]	Speed: 957.29 samples/sec	accuracy=0.351562	cross-entropy=1.740702
INFO:root:Epoch[0] Batch [55-56]	Speed: 1433.07 samples/sec	accuracy=0.312500	cross-entropy=1.798413
INFO:root:Epoch[0] Batch [56-57]	Speed: 1318.31 samples/sec	accuracy=0.281250	cross-entropy=1.864137
INFO:root:Epoch[0] Batch [57-58]	Speed: 979.36 samples/sec	accuracy=0.335938	cross-entropy=1.718411
INFO:root:Epoch[0] Batch [58-59]	Speed: 1178.23 samples/sec	accuracy=0.312500	cross-entropy=1.793034
INFO:root:Epoch[0] Batch [59-60]	Speed: 1207.28 samples/sec	accuracy=0.351562	cross-entropy=1.703012
INFO:root:Epoch[0] Batch [60-61]	Speed: 1146.20 samples/sec	accuracy=0.359375	cross-entropy=1.751825
INFO:root:Epoch[0] Batch [61-62]	Speed: 1038.53 samples/sec	accuracy=0.265625	cross-entropy=1.868293
INFO:root:Epoch[0] Batch [62-63]	Speed: 1087.63 samples/sec	accuracy=0.390625	cross-entropy=1.782198
INFO:root:Epoch[0] Batch [63-64]	Speed: 1100.89 samples/sec	accuracy=0.281250	cross-entropy=1.839105
INFO:root:Epoch[0] Batch [64-65]	Speed: 1731.69 samples/sec	accuracy=0.289062	cross-entropy=1.874571
INFO:root:Epoch[0] Batch [65-66]	Speed: 899.48 samples/sec	accuracy=0.343750	cross-entropy=1.867340
INFO:root:Epoch[0] Batch [66-67]	Speed: 1871.15 samples/sec	accuracy=0.328125	cross-entropy=1.776686
INFO:root:Epoch[0] Batch [67-68]	Speed: 1316.52 samples/sec	accuracy=0.390625	cross-entropy=1.628835
INFO:root:Epoch[0] Batch [68-69]	Speed: 1207.32 samples/sec	accuracy=0.320312	cross-entropy=1.774550
INFO:root:Epoch[0] Batch [69-70]	Speed: 1095.30 samples/sec	accuracy=0.320312	cross-entropy=1.823771
INFO:root:Epoch[0] Batch [70-71]	Speed: 1118.65 samples/sec	accuracy=0.343750	cross-entropy=1.741906
INFO:root:Epoch[0] Batch [71-72]	Speed: 1786.67 samples/sec	accuracy=0.351562	cross-entropy=1.696439
INFO:root:Epoch[0] Batch [72-73]	Speed: 993.01 samples/sec	accuracy=0.343750	cross-entropy=1.754084
INFO:root:Epoch[0] Batch [73-74]	Speed: 1039.80 samples/sec	accuracy=0.273438	cross-entropy=1.829527
INFO:root:Epoch[0] Batch [74-75]	Speed: 1276.60 samples/sec	accuracy=0.296875	cross-entropy=1.811938
INFO:root:Epoch[0] Batch [75-76]	Speed: 1720.86 samples/sec	accuracy=0.304688	cross-entropy=1.793973
INFO:root:Epoch[0] Batch [76-77]	Speed: 1140.89 samples/sec	accuracy=0.335938	cross-entropy=1.764892
INFO:root:Epoch[0] Batch [77-78]	Speed: 1447.62 samples/sec	accuracy=0.421875	cross-entropy=1.688886
INFO:root:Epoch[0] Batch [78-79]	Speed: 1162.10 samples/sec	accuracy=0.382812	cross-entropy=1.678326
